list,mask,target_type,prime,prime_trig,target_lower,target,target_trig,audio,audio_trig,cresp,ITI,block,subblock,orig_order
A,DRTQQXCL,ortho,banjo,200,ban,BAN,101,an,210,5,500,1,b,1
A,ZMSXPJMX,ortho,bangle,200,bang,BANG,102,ang,210,5,200,1,b,2
A,VZZYRWWX,ortho,beech,200,bee,BEE,103,ee,210,5,200,1,b,3
A,ZQSPDFFY,ortho,bunch,200,bun,BUN,104,un,210,5,500,1,b,4
A,VJBJVVYV,ortho,cashew,200,cash,CASH,105,ash,210,5,300,1,b,5
A,TVFJDVGK,ortho,coupon,200,coup,COUP,106,oo,210,5,100,1,b,6
A,QMGVZGPH,ortho,curtail,200,curt,CURT,107,urt,210,5,400,1,b,7
A,KQPQMLBG,ortho,freeze,200,free,FREE,108,ee,210,5,400,1,b,8
A,SKZBZSZC,ortho,harmony,200,harm,HARM,109,orm,211,4,200,1,b,9
A,JJPMDWSQ,ortho,hitch,200,hit,HIT,110,eat,211,4,300,1,b,10
A,ZYYXXFXJ,ortho,lentil,200,lent,LENT,111,ant,211,4,500,1,b,11
A,YWMNPRFW,ortho,little,200,lit,LIT,112,utt,211,4,400,1,b,12
A,QHYWFVDY,ortho,partner,200,part,PART,113,urt,211,4,500,1,b,13
A,GVBGYQVG,ortho,pinch,200,pin,PIN,114,un,211,4,100,1,b,14
A,WJWXQFJJ,ortho,plantain,200,plant,PLANT,115,ent,211,4,100,1,b,15
A,XFGQGSHJ,ortho,pumpkin,200,pump,PUMP,116,omp,211,4,500,1,b,16
A,QZFSBVLW,ortho,ridge,200,rid,RID,117,ant,212,4,200,1,b,17
A,BRRXZDLW,ortho,sight,200,sigh,SIGH,118,arm,212,4,500,1,b,18
A,KPJNYYZV,ortho,starch,200,star,STAR,119,eye,212,4,300,1,b,19
A,HCDDFXJY,ortho,surgeon,200,surge,SURGE,120,ent,212,4,400,1,b,20
A,ZBBQFJMH,ortho,tendril,200,tend,TEND,121,ee,212,4,500,1,b,21
A,CCVMCRBC,ortho,twinkle,200,twin,TWIN,122,ang,212,4,100,1,b,22
A,HGPBFHSP,ortho,vandal,200,van,VAN,123,it,212,4,100,1,b,23
A,YKMMBTZY,ortho,window,200,wind,WIND,124,end,212,4,400,1,b,24
A,QFVZPDBF,trans,actor,200,act,ACT,151,act,210,5,300,1,b,49
A,JFTCTCTX,trans,binder,200,bind,BIND,152,aind,210,5,300,1,b,50
A,ZHHDHDTY,trans,bomber,200,bomb,BOMB,153,om,210,5,500,1,b,51
A,CVXQDPLM,trans,brewery,200,brew,BREW,154,oo,210,5,300,1,b,52
A,XXNMRZMW,trans,childish,200,child,CHILD,155,ild,210,5,100,1,b,53
A,MWVVWJKM,trans,flexible,200,flex,FLEX,156,ex,210,5,300,1,b,54
A,JXJWBCBW,trans,golfer,200,golf,GOLF,157,olf,210,5,100,1,b,55
A,ZFTWGKDQ,trans,herbal,200,herb,HERB,158,erb,210,5,200,1,b,56
A,FRDQRXSF,trans,hotly,200,hot,HOT,159,it,211,4,500,1,b,57
A,NXVFQQYG,trans,killer,200,kill,KILL,160,ael,211,4,200,1,b,58
A,PJBPPSPQ,trans,leakage,200,leak,LEAK,161,ick,211,4,100,1,b,59
A,DWDYTWTJ,trans,mileage,200,mile,MILE,162,ole,211,4,500,1,b,60
A,FQSTXHZC,trans,mower,200,mow,MOW,163,oo,211,4,100,1,b,61
A,DXZFYHFQ,trans,package,200,pack,PACK,164,eek,211,4,300,1,b,62
A,JCBBGFYC,trans,pompous,200,pomp,POMP,165,ump,211,4,300,1,b,63
A,BQHQYHQX,trans,renter,200,rent,RENT,166,unt,211,4,500,1,b,64
A,WMYZGTKN,trans,roller,200,roll,ROLL,167,ack,212,4,300,1,b,65
A,GNCGCJQD,trans,rusty,200,rust,RUST,168,oh,212,4,500,1,b,66
A,FGKLVBMX,trans,shyness,200,shy,SHY,169,ult,212,4,100,1,b,67
A,QZVRMRMY,trans,soften,200,soft,SOFT,170,ent,212,4,400,1,b,68
A,HHDHCHDD,trans,vastly,200,vast,VAST,171,eye,212,4,200,1,b,69
A,HKSWZZWN,trans,verbal,200,verb,VERB,172,ast,212,4,400,1,b,70
A,JRJCHFSC,trans,voltage,200,volt,VOLT,173,aind,212,4,400,1,b,71
A,VSPYQKVY,trans,warmth,200,warm,WARM,174,ole,212,4,500,1,b,72
A,ZCZXSQYQ,ortho,vowel,201,band,BAND,125,and,210,5,500,1,b,25
A,CJDJHVHC,ortho,yellow,201,bar,BAR,126,are,210,5,400,1,b,26
A,NMFVYYKN,ortho,twitch,201,bell,BELL,127,ell,210,5,500,1,b,27
A,GYFJJKDD,ortho,tease,201,cart,CART,128,art,210,5,400,1,b,28
A,VWWKYYQJ,ortho,sparse,201,cost,COST,129,aust,210,5,100,1,b,29
A,PXHMJVFL,ortho,quartz,201,drag,DRAG,130,ag,210,5,300,1,b,30
A,QDCHHTXB,ortho,napkin,201,fell,FELL,131,ell,210,5,300,1,b,31
A,VWFQWJGJ,ortho,peach,201,harp,HARP,132,arp,210,5,300,1,b,32
A,PGMMRCBV,ortho,tinsel,201,kid,KID,133,ide,211,4,300,1,b,33
A,HWVJHJDY,ortho,carton,201,less,LESS,134,oss,211,4,100,1,b,34
A,WXVGXRVV,ortho,costume,201,nap,NAP,135,op,211,4,400,1,b,35
A,JNKSGBDK,ortho,fellow,201,pea,PEA,136,eye,211,4,200,1,b,36
A,MSKXMMQF,ortho,bellow,201,pert,PERT,137,art,211,4,100,1,b,37
A,MCCRCRBM,ortho,kidney,201,plain,PLAIN,138,en,211,4,200,1,b,38
A,FRBDJMYR,ortho,lesson,201,pulp,PULP,139,alp,211,4,100,1,b,39
A,KGDXKVYM,ortho,surface,201,quart,QUART,140,art,211,4,400,1,b,40
A,CCJPXJWZ,ortho,barge,201,shove,SHOVE,141,urt,212,4,500,1,b,41
A,CWQXYQWX,ortho,plaintiff,201,spar,SPAR,142,urf,212,4,400,1,b,42
A,HHMPGLQK,ortho,bandit,201,surf,SURF,143,eat,212,4,300,1,b,43
A,ZPDYBWRD,ortho,shovel,201,tea,TEA,144,ell,212,4,400,1,b,44
A,MXJXYZKF,ortho,dragon,201,tin,TIN,145,ease,212,4,200,1,b,45
A,YFBVZBQV,ortho,harpoon,201,twit,TWIT,146,ane,212,4,300,1,b,46
A,MYCBHBKZ,ortho,pertain,201,vow,VOW,147,id,212,4,400,1,b,47
A,DGHDRVHV,ortho,pulpit,201,yell,YELL,148,ow,212,4,300,1,b,48
A,XDDFVDTN,trans,rower,201,back,BACK,175,ack,210,5,200,1,b,73
A,KHFVKGVC,trans,bumper,201,bold,BOLD,176,old,210,5,500,1,b,74
A,WMYHFWVM,trans,painter,201,box,BOX,177,ox,210,5,300,1,b,75
A,HGCTTLWG,trans,risky,201,bump,BUMP,178,ump,210,5,400,1,b,76
A,GPSYGCZL,trans,boxer,201,edit,EDIT,179,ed,210,5,500,1,b,77
A,ZPQKJNPX,trans,mutely,201,glum,GLUM,180,um,210,5,500,1,b,78
A,JSPZCYHK,trans,vendor,201,grow,GROW,181,oh,210,5,200,1,b,79
A,FGXSGJXV,trans,rainy,201,hold,HOLD,182,old,210,5,100,1,b,80
A,JXGVVYYQ,trans,leader,201,hunt,HUNT,183,aint,211,4,400,1,b,81
A,CPBCTXVG,trans,walker,201,lead,LEAD,184,id,211,4,500,1,b,82
A,VVXXWPSZ,trans,editor,201,mock,MOCK,185,ick,211,4,100,1,b,83
A,WWBZNBHS,trans,mockery,201,mute,MUTE,186,ote,211,4,400,1,b,84
A,XWZGBCMB,trans,holder,201,paint,PAINT,187,ent,211,4,200,1,b,85
A,HJHHCXKV,trans,wattage,201,pass,PASS,188,ess,211,4,200,1,b,86
A,HHXFVFHH,trans,talker,201,rain,RAIN,189,een,211,4,500,1,b,87
A,FHZPDDXH,trans,sailor,201,risk,RISK,190,ask,211,4,500,1,b,88
A,JZYPQJKZ,trans,hunter,201,row,ROW,191,you,212,4,400,1,b,89
A,CJVMHMGV,trans,boldness,201,sail,SAIL,192,yoot,212,4,500,1,b,90
A,ZVTCXDKQ,trans,grower,201,sing,SING,193,ock,212,4,500,1,b,91
A,MJCHFXXM,trans,singer,201,talk,TALK,194,aint,212,4,500,1,b,92
A,SSTZJSQZ,trans,glumly,201,vend,VEND,195,ott,212,4,500,1,b,93
A,NLSZTDZH,trans,backer,201,view,VIEW,196,um,212,4,200,1,b,94
A,ZXYBHVCD,trans,passage,201,walk,WALK,197,ox,212,4,300,1,b,95
A,NFQFSCFP,trans,viewer,201,watt,WATT,198,ane,212,4,500,1,b,96
