list,mask,target_type,prime,prime_trig,target_lower,target,target_trig,audio,audio_trig,cresp,ITI,block,subblock,orig_order
A,DLKZFLZV,opq_con,archer,200,arch,ARCH,1,urch,211,4,300,2,a,1
A,LVFXKFCW,opq_con,brandish,200,brand,BRAND,2,ind,211,4,200,2,a,2
A,LVJYDPXV,opq_con,corner,200,corn,CORN,3,urn,211,4,500,2,a,3
A,QQLJHGZG,opq_con,dormant,200,dorm,DORM,4,arm,211,4,400,2,a,4
A,YXMMDPJP,opq_con,easter,200,east,EAST,5,ast,211,4,300,2,a,5
A,SMQHSTGL,opq_con,fairy,200,fair,FAIR,6,or,211,4,500,2,a,6
A,CZVXSXZC,opq_con,figment,200,fig,FIG,7,ag,211,4,100,2,a,7
A,PVFDXXVZ,opq_con,glossary,200,gloss,GLOSS,8,ass,211,4,500,2,a,8
A,QVXDKBSF,opq_con,helmet,200,helm,HELM,9,im,212,4,200,2,a,9
A,KVQSQHYT,opq_con,inner,200,inn,INN,10,and,212,4,500,2,a,10
A,WPWCZXVJ,opq_con,limber,200,limb,LIMB,11,ast,212,4,400,2,a,11
A,CFDKKPHP,opq_con,manage,200,man,MAN,12,ig,212,4,100,2,a,12
A,KPKFWYZK,opq_con,master,200,mast,MAST,13,ill,212,4,300,2,a,13
A,PPZBVBFG,opq_con,mister,200,mist,MIST,14,elm,212,4,400,2,a,14
A,QYFBYHYJ,opq_con,pasture,200,past,PAST,15,in,212,4,200,2,a,15
A,QZDCVVBK,opq_con,pillage,200,pill,PILL,16,and,212,4,500,2,a,16
A,YXHQXFMZ,opq_con,ponder,200,pond,POND,17,ond,210,5,300,2,a,17
A,DXYFLBJY,opq_con,question,200,quest,QUEST,18,est,210,5,500,2,a,18
A,WQLHQCPV,opq_con,render,200,rend,REND,19,end,210,5,300,2,a,19
A,FHGFBCPF,opq_con,sandal,200,sand,SAND,20,and,210,5,300,2,a,20
A,HZWBDGSV,opq_con,tactile,200,tact,TACT,21,act,210,5,500,2,a,21
A,WPLXDYCR,opq_con,tenuous,200,ten,TEN,22,end,210,5,500,2,a,22
A,WJKQFMWQ,opq_con,tractable,200,tract,TRACT,23,act,210,5,300,2,a,23
A,QVDGKQXP,opq_con,treaty,200,treat,TREAT,24,eat,210,5,200,2,a,24
A,YYKPWPKM,opq_inc,bother,200,both,BOTH,49,auth (voiced),211,4,300,2,a,49
A,SDTXKTTH,opq_inc,caper,200,cap,CAP,50,ape,211,4,500,2,a,50
A,YZKFSTTH,opq_inc,combine,200,comb,COMB,51,um,211,4,200,2,a,51
A,FPJJXPKP,opq_inc,courteous,200,court,COURT,52,urt,211,4,100,2,a,52
A,QTJSTQYY,opq_inc,fallible,200,fall,FALL,53,ael,211,4,500,2,a,53
A,XKKKBVGW,opq_inc,flourish,200,flour,FLOUR,54,er,211,4,100,2,a,54
A,DKCQCKYQ,opq_inc,furor,200,fur,FUR,55,yer,211,4,400,2,a,55
A,TYJJKHXJ,opq_inc,global,200,glob,GLOB,56,obe,211,4,100,2,a,56
A,QPKLSVXX,opq_inc,hearth,200,hear,HEAR,57,er,212,4,200,2,a,57
A,XXLFXVXY,opq_inc,hinder,200,hind,HIND,58,ape,212,4,100,2,a,58
A,ZKQZPWZL,opq_inc,humor,200,hum,HUM,59,ipe,212,4,400,2,a,59
A,VJHWFHWS,opq_inc,menial,200,men,MEN,60,auth (voiced),212,4,500,2,a,60
A,ZBJWFZJS,opq_inc,pageant,200,page,PAGE,61,um,212,4,300,2,a,61
A,FDVZXKKD,opq_inc,penal,200,pen,PEN,62,oob,212,4,400,2,a,62
A,QKJRZFFQ,opq_inc,pollen,200,poll,POLL,63,ael,212,4,400,2,a,63
A,SLKNVTCD,opq_inc,primary,200,prim,PRIM,64,are,212,4,200,2,a,64
A,ZVGNNPKD,opq_inc,rumor,200,rum,RUM,65,um,210,5,500,2,a,65
A,VJKXXKCM,opq_inc,shiny,200,shin,SHIN,66,in,210,5,200,2,a,66
A,WWVVXYCY,opq_inc,sniper,200,snip,SNIP,67,ip,210,5,200,2,a,67
A,BTGXGXXB,opq_inc,spinal,200,spin,SPIN,68,in,210,5,200,2,a,68
A,GXVCJXZH,opq_inc,stallion,200,stall,STALL,69,all,210,5,400,2,a,69
A,GDXJXGWX,opq_inc,tally,200,tall,TALL,70,all,210,5,300,2,a,70
A,NMPKPQXD,opq_inc,tower,200,tow,TOW,71,oh,210,5,500,2,a,71
A,CQFCLLGG,opq_inc,tuber,200,tub,TUB,72,ub,210,5,300,2,a,72
A,KHNGQGGG,opq_con,proper,201,art,ART,25,urt,211,4,500,2,a,25
A,ZBFDNZDX,opq_con,topic,201,chart,CHART,26,ort,211,4,500,2,a,26
A,KXFYWQDP,opq_con,traitor,201,clam,CLAM,27,im,211,4,100,2,a,27
A,NJNBGGPJ,opq_con,luster,201,cow,COW,28,oh,211,4,300,2,a,28
A,HSQDKWVX,opq_con,rigor,201,earl,EARL,29,arl,211,4,200,2,a,29
A,LSYMJXXX,opq_con,hunger,201,fact,FACT,30,ict,211,4,500,2,a,30
A,NYKWNKWK,opq_con,clamor,201,feat,FEAT,31,at,211,4,100,2,a,31
A,VDQXKKBP,opq_con,marshal,201,flu,FLU,32,oh,211,4,200,2,a,32
A,DJZGXPYG,opq_con,wicker,201,halt,HALT,33,ust,212,4,300,2,a,33
A,FVFDQQMS,opq_con,halter,201,hung,HUNG,34,air,212,4,400,2,a,34
A,WJZCDGZW,opq_con,fluent,201,kilt,KILT,35,art,212,4,200,2,a,35
A,MHNWVDJB,opq_con,artery,201,lust,LUST,36,am,212,4,500,2,a,36
A,VPJKZPBP,opq_con,million,201,marsh,MARSH,37,ick,212,4,100,2,a,37
A,ZXGXHPPF,opq_con,suitor,201,mill,MILL,38,ail,212,4,100,2,a,38
A,ZQFYQNVC,opq_con,kilter,201,past,PAST,39,ow,212,4,200,2,a,39
A,NNDWXGVZ,opq_con,raptor,201,prop,PROP,40,ilt,212,4,500,2,a,40
A,DHZQNDGD,opq_con,tailor,201,rapt,RAPT,41,apt,210,5,100,2,a,41
A,FWLYLDKC,opq_con,pastor,201,rig,RIG,42,ig,210,5,100,2,a,42
A,HNNLZYHG,opq_con,factor,201,suit,SUIT,43,oot,210,5,400,2,a,43
A,ZXMPSXFQ,opq_con,charter,201,tail,TAIL,44,ail,210,5,400,2,a,44
A,CYPSVBWH,opq_con,feature,201,text,TEXT,45,ext,210,5,200,2,a,45
A,HGGNFZZZ,opq_con,early,201,top,TOP,46,op,210,5,100,2,a,46
A,MGYKNJNL,opq_con,texture,201,trait,TRAIT,47,ate,210,5,100,2,a,47
A,YNDQLBYN,opq_con,cower,201,wick,WICK,48,ick,210,5,300,2,a,48
A,SZKDJNXC,opq_inc,pallor,201,broth,BROTH,73,uth (voiced),211,4,100,2,a,73
A,VBMHFQZV,opq_inc,wager,201,call,CALL,74,ael,211,4,500,2,a,74
A,JYVVXYVB,opq_inc,flower,201,cat,CAT,75,ate,211,4,100,2,a,75
A,FBXXGXDV,opq_inc,mother,201,cop,COP,76,ope,211,4,200,2,a,76
A,GWQXQHWP,opq_inc,scary,201,cub,CUB,77,yoob,211,4,200,2,a,77
A,KHYQJDDX,opq_inc,copious,201,fib,FIB,78,ibe,211,4,400,2,a,78
A,GBMHGVJJ,opq_inc,posture,201,flow,FLOW,79,ow,211,4,300,2,a,79
A,XKZBSQHV,opq_inc,gluten,201,gall,GALL,80,ael,211,4,200,2,a,80
A,MWKQYJQD,opq_inc,fiber,201,glut,GLUT,81,yer,212,4,400,2,a,81
A,BQFFVQMC,opq_inc,gallant,201,hide,HIDE,82,ate,212,4,300,2,a,82
A,LXYPLZDB,opq_inc,shower,201,host,HOST,83,aust,212,4,400,2,a,83
A,RMBQBSFH,opq_inc,tonal,201,leg,LEG,84,ote,212,4,400,2,a,84
A,LWGVNJBQ,opq_inc,cater,201,moth,MOTH,85,ow,212,4,100,2,a,85
A,WZKSKSFT,opq_inc,cubic,201,pall,PALL,86,ael,212,4,400,2,a,86
A,WNXRJNTQ,opq_inc,hideous,201,plum,PLUM,87,id,212,4,500,2,a,87
A,HCLZVDVZ,opq_inc,rotary,201,post,POST,88,all,212,4,500,2,a,88
A,BVQQPQPN,opq_inc,trolley,201,rot,ROT,89,ott,210,5,500,2,a,89
A,KDJWQFPP,opq_inc,hostage,201,scar,SCAR,90,are,210,5,100,2,a,90
A,VQYDYZDX,opq_inc,brother,201,show,SHOW,91,oh,210,5,100,2,a,91
A,KFZYJYDZ,opq_inc,legal,201,sob,SOB,92,ob,210,5,100,2,a,92
A,MXMMXCTW,opq_inc,sober,201,spur,SPUR,93,er,210,5,400,2,a,93
A,HGGHQDVM,opq_inc,spurious,201,ton,TON,94,un,210,5,400,2,a,94
A,HBQXJPKQ,opq_inc,callous,201,troll,TROLL,95,ole,210,5,400,2,a,95
A,KYDXFZDN,opq_inc,plumage,201,wag,WAG,96,ag,210,5,200,2,a,96
