list,mask,target_type,prime,prime_trig,target_lower,target,target_trig,audio,audio_trig,cresp,ITI,block,subblock,orig_order
B,DLKZFLZV,opq_con,mister,201,arch,ARCH,1,arch,210,5,100,1,a,1
B,LVFXKFCW,opq_con,dormant,201,brand,BRAND,2,and,210,5,300,1,a,2
B,LVJYDPXV,opq_con,archer,201,corn,CORN,3,orn,210,5,500,1,a,3
B,QQLJHGZG,opq_con,render,201,dorm,DORM,4,orm,210,5,200,1,a,4
B,YXMMDPJP,opq_con,question,201,east,EAST,5,east,210,5,200,1,a,5
B,SMQHSTGL,opq_con,corner,201,fair,FAIR,6,air,210,5,400,1,a,6
B,CZVXSXZC,opq_con,ponder,201,fig,FIG,7,ig,210,5,200,1,a,7
B,PVFDXXVZ,opq_con,tenuous,201,gloss,GLOSS,8,oss,210,5,500,1,a,8
B,QVXDKBSF,opq_con,pillage,201,helm,HELM,9,alm,211,4,400,1,a,9
B,KVQSQHYT,opq_con,limber,201,inn,INN,10,an,211,4,200,1,a,10
B,WPWCZXVJ,opq_con,figment,201,limb,LIMB,11,am,211,4,300,1,a,11
B,CFDKKPHP,opq_con,glossary,201,man,MAN,12,on,211,4,300,1,a,12
B,KPKFWYZK,opq_con,brandish,201,mast,MAST,13,ist,211,4,200,1,a,13
B,PPZBVBFG,opq_con,sandal,201,mist,MIST,14,east,211,4,100,1,a,14
B,QYFBYHYJ,opq_con,tactile,201,past,PAST,15,est,211,4,500,1,a,15
B,QZDCVVBK,opq_con,helmet,201,pill,PILL,16,all,211,4,100,1,a,16
B,YXHQXFMZ,opq_con,tractable,201,pond,POND,17,eat,212,4,500,1,a,17
B,DXYFLBJY,opq_con,inner,201,quest,QUEST,18,act,212,4,300,1,a,18
B,WQLHQCPV,opq_con,easter,201,rend,REND,19,act,212,4,100,1,a,19
B,FHGFBCPF,opq_con,treaty,201,sand,SAND,20,ond,212,4,100,1,a,20
B,HZWBDGSV,opq_con,fairy,201,tact,TACT,21,east,212,4,200,1,a,21
B,WPLXDYCR,opq_con,manage,201,ten,TEN,22,air,212,4,500,1,a,22
B,WJKQFMWQ,opq_con,pasture,201,tract,TRACT,23,an,212,4,500,1,a,23
B,QVDGKQXP,opq_con,master,201,treat,TREAT,24,oss,212,4,100,1,a,24
B,YYKPWPKM,opq_inc,global,201,both,BOTH,51,oath,210,5,400,1,a,49
B,SDTXKTTH,opq_inc,furor,201,cap,CAP,52,app,210,5,200,1,a,50
B,YZKFSTTH,opq_inc,pollen,201,comb,COMB,53,ome,210,5,400,1,a,51
B,FPJJXPKP,opq_inc,hinder,201,court,COURT,54,ort,210,5,200,1,a,52
B,QTJSTQYY,opq_inc,caper,201,fall,FALL,55,all,210,5,500,1,a,53
B,XKKKBVGW,opq_inc,spinal,201,flour,FLOUR,56,ow,210,5,300,1,a,54
B,DKCQCKYQ,opq_inc,pageant,201,fur,FUR,57,er,210,5,300,1,a,55
B,TYJJKHXJ,opq_inc,sniper,201,glob,GLOB,58,ob,210,5,500,1,a,56
B,QPKLSVXX,opq_inc,combine,201,hear,HEAR,59,arth,211,4,500,1,a,57
B,XXLFXVXY,opq_inc,courteous,201,hind,HIND,60,ind,211,4,500,1,a,58
B,ZKQZPWZL,opq_inc,bother,201,hum,HUM,61,yoom,211,4,300,1,a,59
B,VJHWFHWS,opq_inc,penal,201,men,MEN,62,een,211,4,200,1,a,60
B,ZBJWFZJS,opq_inc,menial,201,page,PAGE,63,aj,211,4,300,1,a,61
B,FDVZXKKD,opq_inc,primary,201,pen,PEN,64,een,211,4,500,1,a,62
B,QKJRZFFQ,opq_inc,stallion,201,poll,POLL,65,all,211,4,200,1,a,63
B,SLKNVTCD,opq_inc,humor,201,prim,PRIM,66,ime,211,4,300,1,a,64
B,ZVGNNPKD,opq_inc,flourish,201,rum,RUM,67,ine,212,4,400,1,a,65
B,VJKXXKCM,opq_inc,fallible,201,shin,SHIN,68,yoom,212,4,400,1,a,66
B,WWVVXYCY,opq_inc,tuber,201,snip,SNIP,69,ael,212,4,100,1,a,67
B,BTGXGXXB,opq_inc,shiny,201,spin,SPIN,70,ow,212,4,300,1,a,68
B,GXVCJXZH,opq_inc,tower,201,stall,STALL,71,ine,212,4,300,1,a,69
B,GDXJXGWX,opq_inc,hearth,201,tall,TALL,72,een,212,4,300,1,a,70
B,NMPKPQXD,opq_inc,talley,201,tow,TOW,73,ind,212,4,100,1,a,71
B,CQFCLLGG,opq_inc,rumor,201,tub,TUB,74,urt,212,4,300,1,a,72
B,KHNGQGGG,opq_con,artery,200,art,ART,25,art,210,5,100,1,a,25
B,ZBFDNZDX,opq_con,charter,200,chart,CHART,26,art,210,5,200,1,a,26
B,KXFYWQDP,opq_con,clamor,200,clam,CLAM,27,am,210,5,100,1,a,27
B,NJNBGGPJ,opq_con,cower,200,cow,COW,28,ow,210,5,100,1,a,28
B,HSQDKWVX,opq_con,early,200,earl,EARL,29,earl,210,5,100,1,a,29
B,LSYMJXXX,opq_con,factor,200,fact,FACT,30,act,210,5,300,1,a,30
B,NYKWNKWK,opq_con,feature,200,feat,FEAT,31,eat,210,5,100,1,a,31
B,VDQXKKBP,opq_con,fluent,200,flu,FLU,32,oo,210,5,400,1,a,32
