list,mask,target_type,prime,prime_trig,target_lower,target,target_trig,audio,audio_trig,cresp,ITI,block,subblock,orig_order
B,DRTQQXCL,ortho,pumpkin,201,ban,BAN,101,urt,212,4,300,3,b,1
B,ZMSXPJMX,ortho,ridge,201,bang,BANG,102,are,212,4,500,3,b,2
B,VZZYRWWX,ortho,little,201,bee,BEE,103,ash,212,4,500,3,b,3
B,ZQSPDFFY,ortho,twinkle,201,bun,BUN,104,ee,212,4,300,3,b,4
B,VJBJVVYV,ortho,sight,201,cash,CASH,105,in,212,4,200,3,b,5
B,TVFJDVGK,ortho,harmony,201,coup,COUP,106,and,212,4,500,3,b,6
B,QMGVZGPH,ortho,banjo,201,curt,CURT,107,oop,212,4,500,3,b,7
B,KQPQMLBG,ortho,hitch,201,free,FREE,108,art,212,4,100,3,b,8
B,SKZBZSZC,ortho,lentil,201,harm,HARM,109,arm,210,5,300,3,b,9
B,JJPMDWSQ,ortho,freeze,201,hit,HIT,110,it,210,5,200,3,b,10
B,ZYYXXFXJ,ortho,bunch,201,lent,LENT,111,ent,210,5,500,3,b,11
B,YWMNPRFW,ortho,beech,201,lit,LIT,112,it,210,5,100,3,b,12
B,QHYWFVDY,ortho,bangle,201,part,PART,113,art,210,5,200,3,b,13
B,GVBGYQVG,ortho,tendril,201,pin,PIN,114,in,210,5,300,3,b,14
B,WJWXQFJJ,ortho,starch,201,plant,PLANT,115,ant,210,5,400,3,b,15
B,XFGQGSHJ,ortho,vandal,201,pump,PUMP,116,ump,210,5,200,3,b,16
B,QZFSBVLW,ortho,partner,201,rid,RID,117,eed,211,4,500,3,b,17
B,BRRXZDLW,ortho,coupon,201,sigh,SIGH,118,ee,211,4,100,3,b,18
B,KPJNYYZV,ortho,cashew,201,star,STAR,119,ear,211,4,100,3,b,19
B,HCDDFXJY,ortho,plantain,201,surge,SURGE,120,arge,211,4,200,3,b,20
B,ZBBQFJMH,ortho,surgeon,201,tend,TEND,121,ond,211,4,500,3,b,21
B,CCVMCRBC,ortho,window,201,twin,TWIN,122,an,211,4,100,3,b,22
B,HGPBFHSP,ortho,curtail,201,van,VAN,123,in,211,4,100,3,b,23
B,YKMMBTZY,ortho,pinch,201,wind,WIND,124,end,211,4,400,3,b,24
B,QFVZPDBF,trans,leakage,201,act,ACT,151,ill,212,4,200,3,b,49
B,JFTCTCTX,trans,killer,201,bind,BIND,152,olf,212,4,400,3,b,50
B,ZHHDHDTY,trans,golfer,201,bomb,BOMB,153,erb,212,4,300,3,b,51
B,CVXQDPLM,trans,soften,201,brew,BREW,154,erb,212,4,500,3,b,52
B,XXNMRZMW,trans,vastly,201,child,CHILD,155,oo,212,4,300,3,b,53
B,MWVVWJKM,trans,binder,201,flex,FLEX,156,ust,212,4,100,3,b,54
B,JXJWBCBW,trans,shyness,201,golf,GOLF,157,ex,212,4,500,3,b,55
B,ZFTWGKDQ,trans,pompous,201,herb,HERB,158,eek,212,4,100,3,b,56
B,FRDQRXSF,trans,voltage,201,hot,HOT,159,ott,210,5,200,3,b,57
B,NXVFQQYG,trans,roller,201,kill,KILL,160,ill,210,5,200,3,b,58
B,PJBPPSPQ,trans,actor,201,leak,LEAK,161,eek,210,5,400,3,b,59
B,DWDYTWTJ,trans,herbal,201,mile,MILE,162,aisle,210,5,300,3,b,60
B,FQSTXHZC,trans,bomber,201,mow,MOW,163,oh,210,5,200,3,b,61
B,DXZFYHFQ,trans,verbal,201,pack,PACK,164,ack,210,5,400,3,b,62
B,JCBBGFYC,trans,warmth,201,pomp,POMP,165,omp,210,5,300,3,b,63
B,BQHQYHQX,trans,mower,201,rent,RENT,166,ent,210,5,400,3,b,64
B,WMYZGTKN,trans,childish,201,roll,ROLL,167,ell,211,4,400,3,b,65
B,GNCGCJQD,trans,hotly,201,rust,RUST,168,owst,211,4,100,3,b,66
B,FGKLVBMX,trans,rusty,201,shy,SHY,169,ow,211,4,400,3,b,67
B,QZVRMRMY,trans,package,201,soft,SOFT,170,ift,211,4,500,3,b,68
B,HHDHCHDD,trans,brewery,201,vast,VAST,171,ost,211,4,500,3,b,69
B,HKSWZZWN,trans,flexible,201,verb,VERB,172,orb,211,4,500,3,b,70
B,JRJCHFSC,trans,mileage,201,volt,VOLT,173,ult,211,4,100,3,b,71
