list,mask,target_type,prime,prime_trig,target_lower,target,target_trig,audio,audio_trig,cresp,ITI,block,subblock,orig_order,audio_type
A,DRTQQXCL,ortho,banjo,200,ban,BAN,101,ine,211,5,100,2,b,1,coda
A,ZMSXPJMX,ortho,bangle,200,bang,BANG,102,ung,211,5,300,2,b,2,coda
A,VZZYRWWX,ortho,beech,200,bee,BEE,103,eye,211,5,400,2,b,3,coda
A,ZQSPDFFY,ortho,bunch,200,bun,BUN,104,own,211,5,400,2,b,4,coda
A,VJBJVVYV,ortho,cashew,200,cash,CASH,105,ish,211,5,300,2,b,5,coda
A,TVFJDVGK,ortho,coupon,200,coup,COUP,106,ow,211,5,500,2,b,6,coda
A,QMGVZGPH,ortho,curtail,200,curt,CURT,107,ort,211,5,500,2,b,7,coda
A,KQPQMLBG,ortho,freeze,200,free,FREE,108,oo,211,5,300,2,b,8,coda
A,SKZBZSZC,ortho,harmony,200,harm,HARM,109,urge,212,5,100,2,b,9,none
A,JJPMDWSQ,ortho,hitch,200,hit,HIT,110,un,212,5,300,2,b,10,none
A,ZYYXXFXJ,ortho,lentil,200,lent,LENT,111,ind,212,5,100,2,b,11,none
A,YWMNPRFW,ortho,little,200,lit,LIT,112,ump,212,5,300,2,b,12,none
A,QHYWFVDY,ortho,partner,200,part,PART,113,it,212,5,500,2,b,13,none
A,GVBGYQVG,ortho,pinch,200,pin,PIN,114,an,212,5,100,2,b,14,none
A,WJWXQFJJ,ortho,plantain,200,plant,PLANT,115,ink,212,5,300,2,b,15,none
A,XFGQGSHJ,ortho,pumpkin,200,pump,PUMP,116,id,212,5,200,2,b,16,none
A,QZFSBVLW,ortho,ridge,200,rid,RID,117,id,210,6,400,2,b,17,rime
A,BRRXZDLW,ortho,sight,200,sigh,SIGH,118,eye,210,6,100,2,b,18,rime
A,KPJNYYZV,ortho,starch,200,star,STAR,119,are,210,6,100,2,b,19,rime
A,HCDDFXJY,ortho,surgeon,200,surge,SURGE,120,urge,210,6,400,2,b,20,rime
A,ZBBQFJMH,ortho,tendril,200,tend,TEND,121,end,210,6,500,2,b,21,rime
A,CCVMCRBC,ortho,twinkle,200,twin,TWIN,122,in,210,6,200,2,b,22,rime
A,HGPBFHSP,ortho,vandal,200,van,VAN,123,an,210,6,400,2,b,23,rime
A,YKMMBTZY,ortho,window,200,wind,WIND,124,ind,210,6,200,2,b,24,rime
A,QFVZPDBF,trans,actor,200,act,ACT,151,ict,211,5,300,2,b,49,coda
A,JFTCTCTX,trans,binder,200,bind,BIND,152,and,211,5,300,2,b,50,coda
