list,mask,target_type,prime,prime_trig,target_lower,target,target_trig,audio,audio_trig,cresp,ITI,block,subblock,orig_order,audio_type
A,DLKZFLZV,opq_con,archer,200,arch,ARCH,1,orm,212,5,200,3,a,1,none
A,LVFXKFCW,opq_con,brandish,200,brand,BRAND,2,ist,212,5,200,3,a,2,none
A,LVJYDPXV,opq_con,corner,200,corn,CORN,3,end,212,5,400,3,a,3,none
A,QQLJHGZG,opq_con,dormant,200,dorm,DORM,4,arch,212,5,200,3,a,4,none
A,YXMMDPJP,opq_con,easter,200,east,EAST,5,orn,212,5,300,3,a,5,none
A,SMQHSTGL,opq_con,fairy,200,fair,FAIR,,est,212,5,200,3,a,6,none
A,CZVXSXZC,opq_con,figment,200,fig,FIG,7,end,212,5,300,3,a,7,none
A,PVFDXXVZ,opq_con,glossary,200,gloss,GLOSS,8,ast,212,5,400,3,a,8,none
A,QVXDKBSF,opq_con,helmet,200,helm,HELM,9,elm,210,6,200,3,a,9,rime
A,KVQSQHYT,opq_con,inner,200,inn,INN,10,in,210,6,400,3,a,10,rime
A,WPWCZXVJ,opq_con,limber,200,limb,LIMB,11,im,210,6,300,3,a,11,rime
A,CFDKKPHP,opq_con,manage,200,man,MAN,12,an,210,6,200,3,a,12,rime
A,KPKFWYZK,opq_con,master,200,mast,MAST,13,ast,210,6,200,3,a,13,rime
A,PPZBVBFG,opq_con,mister,200,mist,MIST,14,ist,210,6,100,3,a,14,rime
A,QYFBYHYJ,opq_con,pasture,200,past,PAST,15,ast,210,6,300,3,a,15,rime
A,QZDCVVBK,opq_con,pillage,200,pill,PILL,16,ill,210,6,500,3,a,16,rime
A,YXHQXFMZ,opq_con,ponder,200,pond,POND,17,end,211,5,100,3,a,17,coda
A,DXYFLBJY,opq_con,question,200,quest,QUEST,18,ist,211,5,100,3,a,18,coda
A,WQLHQCPV,opq_con,render,200,rend,REND,19,and,211,5,300,3,a,19,coda
A,FHGFBCPF,opq_con,sandal,200,sand,SAND,20,ond,211,5,200,3,a,20,coda
