list,mask,target_type,prime,prime_trig,target_lower,target,target_trig,audio,audio_trig,cresp,ITI,block,subblock,orig_order,audio_type
B,DRTQQXCL,ortho,pumpkin,201,ban,BAN,101,an,210,6,500,1,b,1,rime
B,ZMSXPJMX,ortho,ridge,201,bang,BANG,102,ang,210,6,200,1,b,2,rime
B,VZZYRWWX,ortho,little,201,bee,BEE,103,ee,210,6,200,1,b,3,rime
B,ZQSPDFFY,ortho,twinkle,201,bun,BUN,104,un,210,6,500,1,b,4,rime
B,VJBJVVYV,ortho,sight,201,cash,CASH,105,ash,210,6,300,1,b,5,rime
B,TVFJDVGK,ortho,harmony,201,coup,COUP,106,oo,210,6,100,1,b,6,rime
B,QMGVZGPH,ortho,banjo,201,curt,CURT,107,urt,210,6,400,1,b,7,rime
B,KQPQMLBG,ortho,hitch,201,free,FREE,108,ee,210,6,400,1,b,8,rime
B,SKZBZSZC,ortho,lentil,201,harm,HARM,109,orm,211,5,200,1,b,9,coda
B,JJPMDWSQ,ortho,freeze,201,hit,HIT,110,eat,211,5,300,1,b,10,coda
B,ZYYXXFXJ,ortho,bunch,201,lent,LENT,111,ant,211,5,500,1,b,11,coda
B,YWMNPRFW,ortho,beech,201,lit,LIT,112,utt,211,5,400,1,b,12,coda
B,QHYWFVDY,ortho,bangle,201,part,PART,113,urt,211,5,500,1,b,13,coda
B,GVBGYQVG,ortho,tendril,201,pin,PIN,114,un,211,5,100,1,b,14,coda
B,WJWXQFJJ,ortho,starch,201,plant,PLANT,115,ent,211,5,100,1,b,15,coda
B,XFGQGSHJ,ortho,vandal,201,pump,PUMP,116,omp,211,5,500,1,b,16,coda
B,QZFSBVLW,ortho,partner,201,rid,RID,117,ant,212,5,200,1,b,17,none
B,BRRXZDLW,ortho,coupon,201,sigh,SIGH,118,arm,212,5,500,1,b,18,none
B,KPJNYYZV,ortho,cashew,201,star,STAR,119,eye,212,5,300,1,b,19,none
B,HCDDFXJY,ortho,plantain,201,surge,SURGE,120,ent,212,5,400,1,b,20,none
B,ZBBQFJMH,ortho,surgeon,201,tend,TEND,121,ee,212,5,500,1,b,21,none
B,CCVMCRBC,ortho,window,201,twin,TWIN,122,ang,212,5,100,1,b,22,none
B,HGPBFHSP,ortho,curtail,201,van,VAN,123,it,212,5,100,1,b,23,none
B,YKMMBTZY,ortho,pinch,201,wind,WIND,124,end,212,5,400,1,b,24,none
B,QFVZPDBF,trans,leakage,201,act,ACT,151,act,210,6,300,1,b,49,rime
B,JFTCTCTX,trans,killer,201,bind,BIND,152,aind,210,6,300,1,b,50,rime
B,ZHHDHDTY,trans,golfer,201,bomb,BOMB,153,om,210,6,500,1,b,51,rime
B,CVXQDPLM,trans,soften,201,brew,BREW,154,oo,210,6,300,1,b,52,rime
B,XXNMRZMW,trans,vastly,201,child,CHILD,155,ild,210,6,100,1,b,53,rime
B,MWVVWJKM,trans,binder,201,flex,FLEX,156,ex,210,6,300,1,b,54,rime
B,JXJWBCBW,trans,shyness,201,golf,GOLF,157,olf,210,6,100,1,b,55,rime
B,ZFTWGKDQ,trans,pompous,201,herb,HERB,158,erb,210,6,200,1,b,56,rime
B,FRDQRXSF,trans,voltage,201,hot,HOT,159,it,211,5,500,1,b,57,coda
B,NXVFQQYG,trans,roller,201,kill,KILL,160,ael,211,5,200,1,b,58,coda
B,PJBPPSPQ,trans,actor,201,leak,LEAK,161,ick,211,5,100,1,b,59,coda
B,DWDYTWTJ,trans,herbal,201,mile,MILE,162,ole,211,5,500,1,b,60,coda
B,FQSTXHZC,trans,bomber,201,mow,MOW,163,oo,211,5,100,1,b,61,coda
B,DXZFYHFQ,trans,verbal,201,pack,PACK,164,eek,211,5,300,1,b,62,coda
B,JCBBGFYC,trans,warmth,201,pomp,POMP,165,ump,211,5,300,1,b,63,coda
B,BQHQYHQX,trans,mower,201,rent,RENT,166,unt,211,5,500,1,b,64,coda
B,WMYZGTKN,trans,childish,201,roll,ROLL,167,ack,212,5,300,1,b,65,none
B,GNCGCJQD,trans,hotly,201,rust,RUST,168,oh,212,5,500,1,b,66,none
B,FGKLVBMX,trans,rusty,201,shy,SHY,169,ult,212,5,100,1,b,67,none
B,QZVRMRMY,trans,package,201,soft,SOFT,170,ent,212,5,400,1,b,68,none
B,HHDHCHDD,trans,brewery,201,vast,VAST,171,eye,212,5,200,1,b,69,none
B,HKSWZZWN,trans,flexible,201,verb,VERB,172,ast,212,5,400,1,b,70,none
B,JRJCHFSC,trans,mileage,201,volt,VOLT,173,aind,212,5,400,1,b,71,none
B,VSPYQKVY,trans,renter,201,warm,WARM,174,ole,212,5,500,1,b,72,none
B,ZCZXSQYQ,ortho,bandit,200,band,BAND,125,and,210,6,500,1,b,25,rime
B,CJDJHVHC,ortho,barge,200,bar,BAR,126,are,210,6,400,1,b,26,rime
B,NMFVYYKN,ortho,bellow,200,bell,BELL,127,ell,210,6,500,1,b,27,rime
B,GYFJJKDD,ortho,carton,200,cart,CART,128,art,210,6,400,1,b,28,rime
B,VWWKYYQJ,ortho,costume,200,cost,COST,129,aust,210,6,100,1,b,29,rime
B,PXHMJVFL,ortho,dragon,200,drag,DRAG,130,ag,210,6,300,1,b,30,rime
B,QDCHHTXB,ortho,fellow,200,fell,FELL,131,ell,210,6,300,1,b,31,rime
B,VWFQWJGJ,ortho,harpoon,200,harp,HARP,132,arp,210,6,300,1,b,32,rime
B,PGMMRCBV,ortho,kidney,200,kid,KID,133,ide,211,5,300,1,b,33,coda
B,HWVJHJDY,ortho,lesson,200,less,LESS,134,oss,211,5,100,1,b,34,coda
B,WXVGXRVV,ortho,napkin,200,nap,NAP,135,op,211,5,400,1,b,35,coda
B,JNKSGBDK,ortho,peach,200,pea,PEA,136,eye,211,5,200,1,b,36,coda
B,MSKXMMQF,ortho,pertain,200,pert,PERT,137,art,211,5,100,1,b,37,coda
B,MCCRCRBM,ortho,plaintiff,200,plain,PLAIN,138,en,211,5,200,1,b,38,coda
B,FRBDJMYR,ortho,pulpit,200,pulp,PULP,139,alp,211,5,100,1,b,39,coda
B,KGDXKVYM,ortho,quartz,200,quart,QUART,140,art,211,5,400,1,b,40,coda
B,CCJPXJWZ,ortho,shovel,200,shove,SHOVE,141,urt,212,5,500,1,b,41,none
B,CWQXYQWX,ortho,sparse,200,spar,SPAR,142,urf,212,5,400,1,b,42,none
B,HHMPGLQK,ortho,surface,200,surf,SURF,143,eat,212,5,300,1,b,43,none
B,ZPDYBWRD,ortho,tease,200,tea,TEA,144,ell,212,5,400,1,b,44,none
