list,mask,target_type,prime,prime_trig,target_lower,target,target_trig,audio,audio_trig,cresp,ITI,block,subblock,orig_order
A,DLKZFLZV,opq_con,archer,200,arch,ARCH,1,arch,210,6,100,1,a,1
A,LVFXKFCW,opq_con,brandish,200,brand,BRAND,2,and,210,6,300,1,a,2
A,LVJYDPXV,opq_con,corner,200,corn,CORN,3,orn,210,6,500,1,a,3
A,QQLJHGZG,opq_con,dormant,200,dorm,DORM,4,orm,210,6,200,1,a,4
A,YXMMDPJP,opq_con,easter,200,east,EAST,5,east,210,6,200,1,a,5
A,SMQHSTGL,opq_con,fairy,200,fair,FAIR,6,air,210,6,400,1,a,6
A,CZVXSXZC,opq_con,figment,200,fig,FIG,7,ig,210,6,200,1,a,7
A,PVFDXXVZ,opq_con,glossary,200,gloss,GLOSS,8,oss,210,6,500,1,a,8
A,QVXDKBSF,opq_con,helmet,200,helm,HELM,9,alm,211,5,400,1,a,9
A,KVQSQHYT,opq_con,inner,200,inn,INN,10,an,211,5,200,1,a,10
A,WPWCZXVJ,opq_con,limber,200,limb,LIMB,11,am,211,5,300,1,a,11
A,CFDKKPHP,opq_con,manage,200,man,MAN,12,on,211,5,300,1,a,12
A,KPKFWYZK,opq_con,master,200,mast,MAST,13,ist,211,5,200,1,a,13
A,PPZBVBFG,opq_con,mister,200,mist,MIST,14,east,211,5,100,1,a,14
A,QYFBYHYJ,opq_con,pasture,200,past,PAST,15,est,211,5,500,1,a,15
A,QZDCVVBK,opq_con,pillage,200,pill,PILL,16,all,211,5,100,1,a,16
A,YXHQXFMZ,opq_con,ponder,200,pond,POND,17,eat,212,5,500,1,a,17
A,DXYFLBJY,opq_con,question,200,quest,QUEST,18,act,212,5,300,1,a,18
A,WQLHQCPV,opq_con,render,200,rend,REND,19,act,212,5,100,1,a,19
A,FHGFBCPF,opq_con,sandal,200,sand,SAND,20,ond,212,5,100,1,a,20
A,HZWBDGSV,opq_con,tactile,200,tact,TACT,21,east,212,5,200,1,a,21
A,WPLXDYCR,opq_con,tenuous,200,ten,TEN,22,air,212,5,500,1,a,22
A,WJKQFMWQ,opq_con,tractable,200,tract,TRACT,23,an,212,5,500,1,a,23
A,QVDGKQXP,opq_con,treaty,200,treat,TREAT,24,oss,212,5,100,1,a,24
A,YYKPWPKM,opq_inc,bother,200,both,BOTH,51,oath,210,6,400,1,a,49
A,SDTXKTTH,opq_inc,caper,200,cap,CAP,52,app,210,6,200,1,a,50
A,YZKFSTTH,opq_inc,combine,200,comb,COMB,53,ome,210,6,400,1,a,51
A,FPJJXPKP,opq_inc,courteous,200,court,COURT,54,ort,210,6,200,1,a,52
A,QTJSTQYY,opq_inc,fallible,200,fall,FALL,55,all,210,6,500,1,a,53
A,XKKKBVGW,opq_inc,flourish,200,flour,FLOUR,56,ow,210,6,300,1,a,54
A,DKCQCKYQ,opq_inc,furor,200,fur,FUR,57,er,210,6,300,1,a,55
A,TYJJKHXJ,opq_inc,global,200,glob,GLOB,58,ob,210,6,500,1,a,56
A,QPKLSVXX,opq_inc,hearth,200,hear,HEAR,59,arth,211,5,500,1,a,57
A,XXLFXVXY,opq_inc,hinder,200,hind,HIND,60,ind,211,5,500,1,a,58
A,ZKQZPWZL,opq_inc,humor,200,hum,HUM,61,yoom,211,5,300,1,a,59
A,VJHWFHWS,opq_inc,menial,200,men,MEN,62,een,211,5,200,1,a,60
A,ZBJWFZJS,opq_inc,pageant,200,page,PAGE,63,aj,211,5,300,1,a,61
A,FDVZXKKD,opq_inc,penal,200,pen,PEN,64,een,211,5,500,1,a,62
A,QKJRZFFQ,opq_inc,pollen,200,poll,POLL,65,all,211,5,200,1,a,63
A,SLKNVTCD,opq_inc,primary,200,prim,PRIM,66,ime,211,5,300,1,a,64
A,ZVGNNPKD,opq_inc,rumor,200,rum,RUM,67,ine,212,5,400,1,a,65
A,VJKXXKCM,opq_inc,shiny,200,shin,SHIN,68,yoom,212,5,400,1,a,66
A,WWVVXYCY,opq_inc,sniper,200,snip,SNIP,69,ael,212,5,100,1,a,67
A,BTGXGXXB,opq_inc,spinal,200,spin,SPIN,70,ow,212,5,300,1,a,68
A,GXVCJXZH,opq_inc,stallion,200,stall,STALL,71,ine,212,5,300,1,a,69
A,GDXJXGWX,opq_inc,tally,200,tall,TALL,72,een,212,5,300,1,a,70
A,NMPKPQXD,opq_inc,tower,200,tow,TOW,73,ind,212,5,100,1,a,71
